City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
191,lodja,-3.4833,23.4333,295.15,84,9,1.18,CD,2024-09-17
192,newman,37.3138,-121.0208,294.84,51,84,1.34,US,2024-09-17
193,east tamworth,-31.0894,150.9436,288.92,55,0,3.6,AU,2024-09-17
194,solnechnyy,50.7214,136.6319,292.72,39,2,2.31,RU,2024-09-17
195,veinticinco de mayo,-35.4323,-60.1727,285.92,68,100,0.89,AR,2024-09-17
196,santa marta,11.2408,-74.199,301.42,80,100,5.66,CO,2024-09-17
197,yanykurgan,43.915,67.2481,294.17,35,100,3.66,KZ,2024-09-17
198,mount isa,-20.7333,139.5,296.02,25,92,4.63,AU,2024-09-17
199,shar'ya,58.3686,45.5144,285.83,82,73,1.4,RU,2024-09-17
200,acapulco de juarez,16.8634,-99.8901,303.05,79,75,3.09,MX,2024-09-17
201,sao miguel,-5.4667,-35.3667,297.18,78,1,7.16,BR,2024-09-17
202,larroque,-33.036,-59.0013,286.75,66,36,3.86,AR,2024-09-17
203,yongchuan,29.3514,105.8947,302.2,66,1,2.55,CN,2024-09-17
204,baie-comeau,49.2168,-68.1489,286.97,82,75,4.12,CA,2024-09-17
205,kalabo,-14.97,22.6814,294.02,20,0,2.65,ZM,2024-09-17
206,hirara,24.8,125.2833,302.32,75,4,8.89,JP,2024-09-17
207,horta,38.5333,-28.6333,297.05,88,100,6.26,PT,2024-09-17
208,tynda,55.1667,124.7167,279.96,56,85,5.46,RU,2024-09-17
209,moree,-29.4667,149.85,292.01,30,0,1.18,AU,2024-09-17
210,chibougamau,49.9168,-74.3659,294.94,56,0,3.6,CA,2024-09-17
211,saint-leu,-21.15,55.2833,292.63,89,39,1.27,RE,2024-09-17
212,prineville,44.2999,-120.8345,291.54,46,0,5.66,US,2024-09-17
213,deqen,29.9618,90.7188,281.87,80,20,1.29,CN,2024-09-17
214,akbarabad,29.2464,52.7793,293.29,42,0,1.28,IR,2024-09-17
215,mount pearl,47.5166,-52.7813,290.45,86,100,3.58,CA,2024-09-17
216,conduaga,8.862,117.4893,299.75,90,100,4.75,PH,2024-09-17
217,qaqortoq,60.7167,-46.0333,277.63,86,100,0.85,GL,2024-09-17
218,san martin,-33.081,-68.4681,293.96,21,83,10.95,AR,2024-09-17
219,talnakh,69.4865,88.3972,275.42,96,43,2.68,RU,2024-09-17
220,ozerne,50.1782,28.7338,287.97,47,0,4.15,UA,2024-09-17
221,chokwe,-24.5333,32.9833,295.8,92,58,3.5,MZ,2024-09-17
222,wailua homesteads,22.0669,-159.378,301.59,77,40,6.69,US,2024-09-17
223,bayeux,-7.125,-34.9322,296.5,88,40,2.06,BR,2024-09-17
224,saguenay,48.4168,-71.0657,295.61,69,20,3.09,CA,2024-09-17
225,armacao de buzios,-22.7469,-41.8817,294.34,87,100,8.09,BR,2024-09-17
226,boali,4.8005,18.1275,294.52,90,59,0.41,CF,2024-09-17
227,puerto palomas,31.7667,-107.6167,300.45,44,89,2.85,MX,2024-09-17
228,prince rupert,54.3161,-130.3201,287.2,100,100,2.57,CA,2024-09-17
229,lautoka,-17.6167,177.4667,298.07,78,75,5.14,FJ,2024-09-17
230,santa elena,-2.2333,-80.85,293.9,83,100,5.18,EC,2024-09-17
231,revelganj,25.7833,84.6667,298.79,90,100,6.24,IN,2024-09-17
232,tura,25.5198,90.2201,298.18,86,100,1.25,IN,2024-09-17
233,ancud,-41.8697,-73.8203,279.93,81,43,2.05,CL,2024-09-17
234,lerwick,60.1545,-1.1494,285.03,89,100,8.25,GB,2024-09-17
235,anloga,5.7947,0.8973,298.07,88,100,6.45,GH,2024-09-17
236,sinabang,2.4803,96.3801,298.31,90,100,2.19,ID,2024-09-17
237,bereznik,62.8551,42.7072,282.81,93,90,1.68,RU,2024-09-17
238,vila velha,-20.3297,-40.2925,297.56,85,20,4.47,BR,2024-09-17
239,nova sintra,14.8667,-24.7167,299.45,78,77,4.52,CV,2024-09-17
240,shendi,16.6915,33.4341,302.53,49,40,5.29,SD,2024-09-17
241,south venice,27.0531,-82.4243,301.47,81,100,2.88,US,2024-09-17
242,haiku-pauwela,20.9219,-156.3051,302.74,77,45,12.52,US,2024-09-17
243,vilyuchinsk,52.9306,158.4028,288.3,57,100,4.5,RU,2024-09-17
244,touros,-5.1989,-35.4608,297.68,77,0,6.77,BR,2024-09-17
245,asau,46.4333,26.4,284.68,96,0,2.23,RO,2024-09-17
246,yeed,4.55,43.0333,297.35,71,91,6.7,SO,2024-09-17
247,tralee,52.2704,-9.7026,288.93,85,100,1.72,IE,2024-09-17
248,aydincik,36.1437,33.3202,297.19,74,36,4.62,TR,2024-09-17
249,castelbuono,37.932,14.0886,291.27,72,97,2.04,IT,2024-09-17
250,plastun,44.7561,136.2939,294.83,50,0,3.27,RU,2024-09-17
251,kargopol',61.5071,38.9456,284.52,80,42,0.82,RU,2024-09-17
252,kerben,40.2951,72.1863,289.44,32,98,2.58,KG,2024-09-17
253,kasongo,-4.45,26.6667,296.75,56,90,1.67,CD,2024-09-17
254,cooma,-36.2333,149.1333,286.99,40,14,1.51,AU,2024-09-17
255,mweka,-4.85,21.5667,294.84,84,27,0.94,CD,2024-09-17
256,erenhot,43.6475,111.9767,289.38,43,100,1.23,CN,2024-09-17
257,mumbwa,-14.9783,27.0619,293.51,29,0,2.41,ZM,2024-09-17
258,lethem,3.3803,-59.7968,301.21,58,0,1.83,GY,2024-09-17
259,gavrilov-yam,57.3018,39.8533,285.74,87,13,1.49,RU,2024-09-17
260,nadym,65.5333,72.5167,283.98,91,100,2.26,RU,2024-09-17
261,palmer,42.1584,-72.3287,290.5,80,40,0.0,US,2024-09-17
262,joshua tree,34.1347,-116.3131,293.89,47,0,7.15,US,2024-09-17
263,pyay,18.8167,95.2167,298.67,91,87,0.44,MM,2024-09-17
264,bossangoa,6.4926,17.4552,294.13,98,55,1.36,CF,2024-09-17
265,new norfolk,-42.7826,147.0587,286.44,76,100,4.65,AU,2024-09-17
266,loyew,51.9458,30.7953,288.24,54,4,3.64,BY,2024-09-17
267,fisterra,42.9049,-9.2629,292.81,51,26,9.5,ES,2024-09-17
268,tevriz,57.509,72.4042,276.36,85,3,1.47,RU,2024-09-17
269,zhigalovo,54.8097,105.1578,276.38,74,30,1.14,RU,2024-09-17
270,howard springs,-12.497,131.047,296.1,98,87,5.16,AU,2024-09-17
271,midvagur,62.0511,-7.1939,284.61,100,100,6.69,FO,2024-09-17
272,kone,-21.0595,164.8658,298.1,38,8,6.83,NC,2024-09-17
273,xining,36.6167,101.7667,288.35,83,98,0.36,CN,2024-09-17
274,sarupathar,26.1984,93.8094,299.18,90,81,0.08,IN,2024-09-17
275,enriquillo,17.9,-71.2333,298.91,86,100,4.6,DO,2024-09-17
276,weno,7.4515,151.8468,304.12,84,100,4.12,FM,2024-09-17
277,qalat,32.1058,66.9083,291.5,32,0,1.97,AF,2024-09-17
278,recife,-8.0539,-34.8811,299.17,73,40,6.17,BR,2024-09-17
279,bredy,52.4153,60.3411,278.96,69,13,4.33,RU,2024-09-17
280,kununurra,-15.7667,128.7333,294.14,60,100,9.77,AU,2024-09-17
281,gilgit,35.9221,74.3087,292.35,39,100,2.09,PK,2024-09-17
282,collie,-33.3667,116.15,291.13,36,0,1.88,AU,2024-09-17
283,barcelos,41.5388,-8.6151,294.07,30,8,4.58,PT,2024-09-17
284,san angelo,31.4638,-100.437,304.56,46,0,3.13,US,2024-09-17
285,balkanabat,39.5108,54.3671,294.17,26,24,1.87,TM,2024-09-17
286,riva del garda,45.8858,10.8412,286.93,74,100,3.65,IT,2024-09-17
287,casino,-28.8667,153.05,294.38,36,0,1.77,AU,2024-09-17
288,sunchales,-30.944,-61.5615,288.84,49,0,4.94,AR,2024-09-17
289,mossel bay,-34.1831,22.146,286.11,76,0,2.2,ZA,2024-09-17
290,nabire,-3.3667,135.4833,304.26,66,90,1.44,ID,2024-09-17
291,monroe,43.1501,-77.6831,293.72,81,100,2.23,US,2024-09-17
292,xunchang,28.4543,104.715,297.04,85,54,1.0,CN,2024-09-17
293,gadzhiyevo,69.2551,33.3362,281.58,86,100,4.41,RU,2024-09-17
294,lupane,-18.9315,27.807,291.77,31,0,2.7,ZW,2024-09-17
295,langepas,61.2544,75.2124,280.98,64,98,4.54,RU,2024-09-17
